No,Judul Inovasi,Pemda,Admin OPD,Inisiator,Nama Inisiator,Bentuk Inovasi,Jenis,Asta Cipta,Urusan Utama,Urusan lain yang beririsan,Kematangan,Tahapan Inovasi,Tanggal Input,Tanggal Penerapan,Tanggal Pengembangan,Koordinat,Video,Link Video,lat,lon,Admin OPD Grouped
152,KURASAKI-LISA-MAWADAH,Provinsi Jawa Timur,SMAN 1 GIRI BANYUWANGI (iga2024.sman1.giri.banyuwangi),ASN,"i Ketut Renen,S.Pd, M.Si",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",pendidikan,lingkungan hidup,61,Penerapan,2024-07-31,2023-11-01,,https://maps.app.goo.gl/db58X7MWnA1jayL68,Ada,https://youtu.be/8I4FBeSCdvw,,,Dinas Pendidikan
153,SURUH MANUFACTURING MODEL ( SMM ),Provinsi Jawa Timur,SMK NEGERI 1 SURUH TRENGGALEK (iga2024.smkn1.suruh.trenggalek),ASN,"NING FADLILLAH, S.E., S.Pd., M.Pd",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,energi dan sumber daya mineral,12,Penerapan,2024-07-31,2023-10-23,,,Ada,https://youtu.be/HeZBcyfmrys?si=EVdtQn_HqkA69QI_,,,Dinas Pendidikan
154,E-TATIB (Monitoring Tata Tertib SMKN 1 Probolinggo),Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,Pendidikan dan Pelatihan,0,Penerapan,2024-07-31,2023-02-01,,,Tidak Ada,-,,,Dinas Pendidikan
155,EDUFISH cetak GEMA BENER (Generasi Muda Berjiwa Enterpreneur),Provinsi Jawa Timur,SMKN 1 PRAJEKAN BONDOWOSO (iga2024.smkn1.prajekan.bondowoso),Kepala Daerah,"Drs. Anang Arifandi, S.Pd",Inovasi pelayanan publik,Non Digital,-,pendidikan,"kelautan dan perikanan,Pendidikan dan Pelatihan",44,Inisiatif,2024-07-31,2023-10-10,,,Ada,https://static2024.tuxedovation.com/8a640b75d25aca2b42e7524d51f195d13b45cd84.png,,,Dinas Pendidikan
156,E-TATIB,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,pendidikan,"tenaga kerja,komunikasi dan informatika,Pendidikan dan Pelatihan",0,Penerapan,2024-07-31,2023-02-28,,,Tidak Ada,-,,,Dinas Pendidikan
157,GTK Creative Camp (GCC),Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Aries Agung Paewei,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,Pendidikan dan Pelatihan,58,Penerapan,2024-07-31,2023-08-30,,,Ada,https://youtu.be/kA9rIs31ucs,,,Dinas Pendidikan
158,Metaverse Seamolec,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Andi Wardana,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",pendidikan,"komunikasi dan informatika,Pendidikan dan Pelatihan",95,Penerapan,2024-07-31,2024-05-22,,"-7.780962381356546, 113.21223995233498",Ada,https://static2024.tuxedovation.com/d000576f9bb9500d0c9e9d0e2717b6b3d93c0049.png,-7.780962381356546,113.21223995233498,Dinas Pendidikan
159,Metaverse Axioo Sentra Digital,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Dwi Anggraeni,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",pendidikan,"komunikasi dan informatika,Pendidikan dan Pelatihan",82,Penerapan,2024-07-31,2023-02-06,,"-7.780962381356546, 113.21223995233498",Ada,"https://youtu.be/4gN7BH_RAso?si=E0fUmpwIIpaIl-DE, https://res4.tuxedovation.com/a2cfb3b5d45b653c84fe05864983f9dcfded14ee.mp4",-7.780962381356546,113.21223995233498,Dinas Pendidikan
160,Cinematik IKN Nusantara,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Gabriel Darren Axl Christian Susanto,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",pendidikan,"komunikasi dan informatika,Pendidikan dan Pelatihan",83,Penerapan,2024-07-31,2023-09-07,,"2.832422558888594, 117.40071845222185",Ada,https://static2024.tuxedovation.com/2cb6225ee6dfa9ce5b73d7b360a5e86bdd51a84f.mp4,2.832422558888594,117.40071845222184,Dinas Pendidikan
161,"""BES-Q"" (BERSIH ENTREPRENEUR SEHAT DAN QOLBU)",Provinsi Jawa Timur,SMAN 1 JENANGAN (iga2024.sman.1.jenangan),OPD,"Titik Ruwaidah, S.Pd., M.Pd.",Inovasi pelayanan publik,Non Digital,-,pendidikan,Pendidikan dan Pelatihan,92,Penerapan,2024-07-31,2023-03-03,2023-07-21,,Ada,https://static2024.tuxedovation.com/26eb697e390e8466ba3eecc19e61f09ecdbe9c35.mp4,,,Dinas Pendidikan
162,Kakus Basi (kelas Khusus Bakat Siswa) dalam Implementasi Kurikulm Merdeka,Provinsi Jawa Timur,SMAN 1 NGRAYUN (iga2024.sman.1.ngrayun),ASN,"HERI SUBOWO, M.Pd",Inovasi pelayanan publik,Non Digital,-,pendidikan,,66,Penerapan,2024-07-31,2022-08-01,2023-08-07,,Ada,https://static2024.tuxedovation.com/5146a1850c6b2dcc5adb0d6dcb272ff518ae8d56.mp4,,,Dinas Pendidikan
163,"BERDASI ""Bertumbuhnya Daun Literasi untuk Mewujudkan Profil Pelajar Pancasila""",Provinsi Jawa Timur," SMA NEGERI 1 MUNJUNGAN, KAB. TRENGGALEK  (jatimprov.dispendik.sman1munjungan)",ASN,ACH. SYAIFUDDIN dan NUR AHMADI,Inovasi pelayanan publik,Non Digital,-,pendidikan,Penelitian dan Pengembangan,0,Penerapan,2024-07-31,2023-09-11,2023-10-09,,Tidak Ada,-,,,Dinas Pendidikan
164,JU-ON (Jurnal Online),Provinsi Jawa Timur,SMKN 2 Tulungagung (iga2024.smkn.2.tulungagung),ASN,"ENDAH SUSILOWATI, M.Pd.",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Pendidikan dan Pelatihan,107,Penerapan,2024-08-01,2023-11-20,2023-12-11,"-8.068518162315332, 111.95321202142658",Ada,https://youtu.be/1mGBQEQx45c,-8.068518162315332,111.95321202142658,Dinas Pendidikan
165,SAKA GURU LITERASI (SATU KARYA GURU SATU LITERASI),Provinsi Jawa Timur,SMKN 1 PONOROGO  (jatimprov.dispendik.smkn1ponorogo),ASN,"SURYANTO, S.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"komunikasi dan informatika,perpustakaan,Pendidikan dan Pelatihan",101,Penerapan,2024-08-02,2023-07-07,,"-7.871900737497542, 111.4640394786149",Ada,https://youtu.be/WYjPO9kbCN0?si=m6jCoKL6wKhDYtbC,-7.871900737497542,111.4640394786149,Dinas Pendidikan
166,VHSONE DIGITAL LIBRARY,Provinsi Jawa Timur,SMKN 1 Tuban (iga2024.smkn1.tuban),ASN,"SUCIPTO, S.Pd",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,perpustakaan,101,Penerapan,2024-08-02,2023-02-20,,"-6.900868319808196, 112.04442518111017",Ada,https://static2024.tuxedovation.com/948811efc15dab675149506277feb00353d46afa.mp4,-6.900868319808196,112.04442518111016,Dinas Pendidikan
167,SKANEPA E-LAERNING BERBASIS GOOGLE SITES SEBAGAI MODA PEMBELAJARAN KOMBINASI (BLENDED LEARNING),Provinsi Jawa Timur,SMK NEGERI 1 PANGGUL TRENGGALEK (iga2024.smkn1.panggul.trenggalek),ASN,"ENDANG PURNAWATI, S.Pd.",Inovasi pelayanan publik,Digital,-,pendidikan,,0,Penerapan,2024-08-02,2023-06-01,,,Tidak Ada,-,,,Dinas Pendidikan
168,STUNTING APS,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ANDRIYANTO, S.H., M.Kes",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,pangan,111,Penerapan,2024-08-02,2023-07-01,,"-7.329808972382923, 112.72701006680437",Ada,https://static2024.tuxedovation.com/e99c2377f800c5e7799e2607f6efbd9c091f3b79.mp4,-7.329808972382923,112.72701006680435,Admin IGA 2025
169,"HERO (Holiday, Education(Farm), Religious, Outbond",Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd., M.T., dan Candranofani Adityawan, S.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"kesehatan,pemberdayaan perempuan dan pelindungan anak,pangan,lingkungan hidup,pemberdayaan masyarakat dan Desa,koperasi, usaha kecil, dan menengah,pariwisata,pertanian,kehutanan,Penelitian dan Pengembangan",96,Penerapan,2024-08-03,2023-12-21,,"-7.555703903729634, 112.23392876680657",Ada,https://www.youtube.com/watch?v=MFhFZpiAOlQ,-7.555703903729634,112.23392876680656,Dinas Pendidikan
170,PELPOKABAR- TEMPEL POLA KATA BERGAMBAR UNTUK MEDIA MEMBACA,Provinsi Jawa Timur,SLB BUDI MULIA (iga2024.slb.budi.mulia),Masyarakat,Putrri Dwi Ardhanariswari,Inovasi pelayanan publik,Non Digital,-,pendidikan,Pendidikan dan Pelatihan,40,Penerapan,2024-08-03,2023-12-20,,,Tidak Ada,-,,,Dinas Pendidikan
171,PROGRAM SEKOLAH NUSANTARA,Provinsi Jawa Timur,SMAN PURWOHARJO BANYUWANGI (iga2024.sman.purwoharjo.banyuwangi),ASN,"HARI SURYONO, M.Pd",Inovasi pelayanan publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",pendidikan,"pemberdayaan masyarakat dan Desa,kebudayaan,pariwisata",0,Penerapan,2024-08-04,2022-07-01,2023-07-03,"-8.47783337495648, 114.22912127008698",Tidak Ada,-,-8.47783337495648,114.22912127008698,Dinas Pendidikan
172,TUMPAH NUSA (Kartu Rempah Nusantara): Media Pembelajaran untuk Membuka Gerbang Kreativitas Pengolahan makanan Herbal,Provinsi Jawa Timur," SMKN 2 DONOREJO, KAB. PACITAN  (jatimprov.dispendik.smkn2donorejo)",ASN,"YULIFATIN, S.Pd., MM.Pd",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,pangan,98,Uji Coba,2024-08-04,2022-10-18,2023-10-18,,Ada,https://static2024.tuxedovation.com/9c7a233608463e6f530877ccbaa050f367479780.mp4,,,Dinas Pendidikan
173,Es Krim Kulit Kopi Q-Ta Barokah,Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd.,M.T, dan Ibnu Sina",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"kesehatan,pangan,lingkungan hidup,pemberdayaan masyarakat dan Desa,koperasi, usaha kecil, dan menengah,pertanian,Penelitian dan Pengembangan",95,Penerapan,2024-08-04,2023-09-07,2023-10-07,"-7.555709221559722, 112.2339609522849",Ada,https://www.youtube.com/watch?v=VjzMK3H3Pc0,-7.555709221559722,112.2339609522849,Dinas Pendidikan
174,BLUTY Es Krim Bunga Telang,Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd., M.T., Kaseri, S.Pd., M.M. M.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"kesehatan,pangan,lingkungan hidup,koperasi, usaha kecil, dan menengah,pertanian,Pendidikan dan Pelatihan,Penelitian dan Pengembangan",91,Penerapan,2024-08-04,2023-06-15,2023-07-15,"-7.555709221559722, 112.2339609522849",Ada,"BLUTY, Es Krim Bunga Telang dari Halaman Sekolah, https://www.youtube.com/watch?v=mv4OHxPdj8o",-7.555709221559722,112.2339609522849,Dinas Pendidikan
175,SHAFA SCHOOL,Provinsi Jawa Timur,SMAN 1 PLAOSAN (iga2024.sman.1.plaosan),ASN,"Nunung Mintarsih, S.Pd.,M.Hum.",Inovasi pelayanan publik,Non Digital,-,pendidikan,,59,Penerapan,2024-08-04,2023-03-13,2023-06-05,,Ada,https://youtu.be/znOrqzCUmBA,,,Dinas Pendidikan
176,SIPPS 215 (SISTEM INFORMASI POIN PELANGGARAN SISWA) SMK NEGERI 1 WATULIMO,Provinsi Jawa Timur,SMK NEGERI 1 WATULIMO TRENGGALEK (iga2024.smkn1.watulimo.trenggalek),ASN,"Dr. SANTIKA, S.Pi., M.Si dan WAHYU SETYO LAKSONO, S.Pd",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"ketenteraman, ketertiban umum, dan pelindungan masyarakat",97,Penerapan,2024-08-05,2023-09-04,,"-8.264737578407239, 111.72298282160902",Ada,https://static2024.tuxedovation.com/c8ceea5181dbc5496a0dcb7291a42f9167b58c50.mp4,-8.264737578407239,111.72298282160902,Dinas Pendidikan
177,EKSOTIKA MURAL,Provinsi Jawa Timur,SMA NEGERI 1 DURENAN TRENGGALEK (iga2024.sman1.durenan.trenggalek),ASN,"KURNIA SEPTA ERWIDA, S.Pd.,M.Sn",Inovasi pelayanan publik,Non Digital,-,pendidikan,lingkungan hidup,61,Penerapan,2024-08-05,2023-09-01,2023-11-01,,Ada,https://youtu.be/3WH4WlBoEOg,,,Dinas Pendidikan
178,DIGDAYA: Digitalisasi untuk Mewujudkan Kedisiplinan dan Karakter Unggul Siswa,Provinsi Jawa Timur,SMAN 2 PONOROGO (iga2024.sman.2.ponorogo),ASN,"Zanwar Sugiartoko, S.Kom",Inovasi pelayanan publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,,99,Penerapan,2024-08-05,2024-07-15,,"-7.872610410137241, 111.4786916941548",Ada,https://static2024.tuxedovation.com/fdb591f74ad0cf81ec495e874a1d38089d5e5bec.mp4,-7.872610410137241,111.4786916941548,Dinas Pendidikan
179,PENGEMBANGAN BUDAYA POSITIF DISIPLIN  BERBASIS SI-PEDAS ,Provinsi Jawa Timur,SMKN TAKERAN (iga2024.smkn.takeran),Kepala Daerah,Yanna Sofa. S.Kom,Inovasi pelayanan publik,Digital,-,pendidikan,lingkungan hidup,56,Inisiatif,2024-08-05,2023-05-05,,,Ada,https://youtu.be/DyHvGnMuiwM,,,Dinas Pendidikan
180,FRIENDLY,Provinsi Jawa Timur,SMAN 1 BANYUWANGI (iga2024.sman1.banyuwangi),ASN,RATNA MEITARINI,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",pendidikan,"kesehatan,Pendidikan dan Pelatihan",103,Penerapan,2024-08-05,2023-05-03,2023-09-09,"-8.228207888510195, 114.37130402208881",Ada,https://youtu.be/NDC_mH3F2dk,-8.228207888510195,114.3713040220888,Dinas Pendidikan
181,"JOS DASIH (Jumat Olahraga, Sarapan pagi, minum tablet tambah DArah dan berSIH lingkungan)",Provinsi Jawa Timur,SMA NEGERI 1 DONGKO TRENGGALEK (iga2024.sman1.dongko.trenggalek),ASN,"KHABIB SHOLEH, S.Pd., M.Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,Pendidikan dan Pelatihan,64,Penerapan,2024-08-06,2023-09-10,2023-10-10,,Ada,https://drive.google.com/file/d/1-SumOXOagBWJx5nRwStlPl0d_j66U2VX/view?usp=sharing,,,Dinas Pendidikan
182,SEKOLAH BEBAS BULLY,Provinsi Jawa Timur,smkn 1 kamal (iga2024.smkn.1.kamal),ASN,"PINKY HIDAYATI, S.Psi., M.Psi",Inovasi pelayanan publik,Digital,-,pendidikan,"ketenteraman, ketertiban umum, dan pelindungan masyarakat,sosial",26,Penerapan,2024-08-06,2023-12-01,2024-07-15,,Ada,https://youtu.be/IT3-HFYAT_Q,,,Dinas Pendidikan
183,SANS-SRF : Mengubah Limbah Pembalut dan Popok Bayi menjadi Pupuk Slow-Release berbasis Urea yang dimodifikasi dengan Karbon Aktif sebagai Coating Agent,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Alysa Virnanda Abidin, Nadhif Dwi Saputra, Aguk Efendi, Layla Septy, Arief Alhadi Nugroho, Andik Surya Danirisko",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,,61,Penerapan,2024-08-06,2023-12-24,2024-02-07,,Ada,https://youtu.be/3nbRZKNhgus?si=uncnNzuAmUc6Ed4L,,,Dinas Pendidikan
184,Inovasi Olahan Produk Ekstrak Apium Graveolens Sebagai Apiuma (Aromatherapy) dan Nutrigum (Gummy Nutrition) Menggunakan Metode Guided Imagery Therapy dan Oral dalam Upaya Menurunkan Tingkat Academic Burnout pada Siswa SMA,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Layla Septy Puspita, Nadhif Dwi Saputra, Arief Alhadi Nugroho, Aguk Efendi, Andik Surya Danirisko, Salsabila Amalia Shaliha",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,,12,Penerapan,2024-08-06,2023-10-15,,,Ada,https://youtu.be/A3d26u_mU8c,,,Dinas Pendidikan
185,Formulasi Limbah Rambut Jagung (Corn silk Zea mays) menjadi Krim Zyseco (Tabir Surya) untuk Mengurangi Radikal Bebas dan Biomosti Biolarvicida Aedes aegypti,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Layla Septy Puspita, Nadhif Dwi Saputra, Arief Alhadi Nugroho, Aguk Efendi, Andik Surya Danirisko",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,,61,Penerapan,2024-08-06,2023-10-15,2023-11-29,,Ada,https://youtu.be/ScaBsunNiPg,,,Dinas Pendidikan
186,"""AUGYTRIC: Technological Innovation in Converting Sound Energy from Factory Industrial Machines through Piezoelectric Sensors and Electromagnetic Devices into Electrical Energy""",Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Alysa Virnanda Abidin, Nadhif Dwi Saputra, Aguk Efendi, Layla Septy, Arief Alhadi Nugroho, Andik Surya Danirisko",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,-,pendidikan,,71,Penerapan,2024-08-06,2023-12-29,2024-01-11,,Ada,https://youtu.be/HqZrjXs7JC4,,,Dinas Pendidikan
187,SEKOLAH BERBASIS SAFETY,Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"SHOLAHUDDIN, ST., M.Si",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Pendidikan dan Pelatihan,93,Penerapan,2024-08-07,2023-03-08,2023-08-02,"-6.860288956781138, 111.92851789460168",Ada,https://static2024.tuxedovation.com/37b4fa9fc595ce73329f4793e329cd6946548a35.mp4,-6.860288956781138,111.92851789460168,Dinas Pendidikan
188,"SMEKGATA PUWAS DAGING “SMK NEGERI 3 TUBAN SEBAGAI PUSAT PENGEMBANGAN WEDANG SERBUK DARI DAUN, REMPAH, DAN BUNGA KERING”",Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"JAHIDUL UMAM, S.Si., Gr.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Pendidikan dan Pelatihan,89,Penerapan,2024-08-07,2023-11-13,2024-02-05,"-6.86027830475968, 111.92849643692968",Ada,https://res4.tuxedovation.com/706091e53f5603d5478dec93c4a122b99c1cbe68.mp4,-6.86027830475968,111.92849643692968,Dinas Pendidikan
189,GALERY DIGITAL,Provinsi Jawa Timur,SMPLB YPABK MUNCAR BANYUWANGI (jatimprov.dispendik.smplb.ypabk.muncar.banyuwangi),Masyarakat,LATU METHA MARYA MAHARDIKA P,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Teknologi,-,"koperasi, usaha kecil, dan menengah",Pendidikan dan Pelatihan,73,Penerapan,2024-08-07,2023-06-01,,,Tidak Ada,-,,,Smplb Ypabk Muncar Banyuwangi (Jatimprov
190,SISTEM APLIKASI E-LEARNING UNTUK MENINGKATKAN KEMAMPUAN LITERASI DAN NUMERASI DIGITAL SISWA SMA NEGERI 1 KEMBANGBAHU,Provinsi Jawa Timur,SMAN 1 Kembangbahu lamongan (iga2024.sman1.kembangbahu.lamongan),ASN,"MUHTAROM, S.Pd., M.Si.",Inovasi pelayanan publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,,91,Penerapan,2024-08-07,2023-08-07,,"-7.230281826978796, 112.3764853062474",Ada,https://drive.google.com/file/d/1nDsJaghp6M72tjxqI_NilF7r5I8ON_gx/view?usp=sharing,-7.230281826978796,112.3764853062474,Dinas Pendidikan
191,DIAMOND PARENTS GRUB,Provinsi Jawa Timur,SDLB YPABK MUNCAR Banyuwangi (iga2024.sdlb.ypabk.muncar.banyuwangi),ASN,"Ririn Kurnia Dewi, S.Pd",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,,92,Penerapan,2024-08-07,2023-02-06,2023-04-05,"-8.150984695606722, 114.38712559442541",Ada,https://youtu.be/2_uATAvHSaY?si=O3MqOgap2SBuQKcU,-8.150984695606722,114.3871255944254,Sdlb Ypabk Muncar Banyuwangi (Iga2024
192,JOOSSS,Provinsi Jawa Timur,SMK NEGERI WONOSALAM JOMBANG (iga2024.smkn.wonosalam.jombang),ASN,"Naili Shofiyah, S.Pd.",Inovasi pelayanan publik,Digital,-,"koperasi, usaha kecil, dan menengah",Pendidikan dan Pelatihan,0,Penerapan,2024-08-07,2024-08-07,,,Tidak Ada,-,,,Dinas Pendidikan
193,GALERY DIGITAL,Provinsi Jawa Timur,SMPLB YPABK MUNCAR BANYUWANGI (jatimprov.dispendik.smplb.ypabk.muncar.banyuwangi),Masyarakat,LATU METHA MARYA MAHARDIKA P,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Digital,-,"koperasi, usaha kecil, dan menengah",Pendidikan dan Pelatihan,66,Penerapan,2024-08-07,2023-06-01,,,Ada,https://youtu.be/dSWQf0sRuZI,,,Smplb Ypabk Muncar Banyuwangi (Jatimprov
194,PENGEMBANGAN LITERASI DAN NUMERASI SISWA BERKEBUTUHAN KHUSUS,Provinsi Jawa Timur,SLB MUJI UTOMO (iga2024.slb.muji.utomo),Masyarakat,Mirna Binti Awalia,Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,perpustakaan,76,Penerapan,2024-08-07,2023-11-30,,"-8.046053036567129, 112.31234790811315",Ada,https://youtu.be/W6tyzinR_w0,-8.046053036567129,112.31234790811315,Dinas Pendidikan
